seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
0,1713239824.630643606,map_only,0,1,0,0.089741949,nan,0.882271450,0.882271450,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.463132022,0.000000000,0.000000000,1.000000000,991.743408203,-277.202117920,0.168080330,0.004997955,0.000136398,0.010312191,-0.999934316
1,1713239824.730125904,fused_map_f2f,1,1,0,0.115424018,0.138620954,0.780613263,0.780613263,0.344396028,0.046729984,0.046729984,0.046729984,0.046729984,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.467764060,0.000000000,0.000000000,1.000000000,991.389465332,-277.205657959,0.165190622,0.004186442,-0.002237441,0.011576660,-0.999921739
2,1713239824.830100298,fused_map_f2f,1,1,1,0.560390391,1.007526069,0.050000000,0.050000000,0.025000000,0.052631579,0.052631579,0.052631579,0.052631579,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.468264686,0.000000000,0.000000000,1.000000000,991.034301758,-277.214813232,0.171381593,0.003420807,-0.005040077,0.011634279,-0.999913812
3,1713239824.930027723,fused_map_f2f,1,1,1,0.439607038,0.031057599,0.050000000,0.050000000,0.500000000,0.526315789,0.526315789,0.526315789,0.526315789,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.465116279,0.000000000,0.000000000,1.000000000,990.673706055,-277.225372314,0.172226757,0.002762107,-0.005718938,0.009730238,-0.999932528
4,1713239825.029930592,fused_map_f2f,1,1,1,0.333095492,0.030460704,0.050000000,0.050000000,0.500000000,0.526315789,0.526315789,0.526315789,0.526315789,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.453773277,0.000000000,0.000000000,1.000000000,990.318725586,-277.223876953,0.178440422,0.002538480,-0.006124021,0.009840006,-0.999929667
5,1713239825.129792452,fused_map_f2f,1,1,1,0.529016795,0.028112159,0.050000000,0.050000000,0.500000000,0.526315789,0.526315789,0.526315789,0.526315789,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.439674797,0.000000000,0.000000000,1.000000000,989.961425781,-277.222991943,0.174087673,0.002434703,-0.006860530,0.010822902,-0.999914944
6,1713239825.229932070,fused_map_f2f,1,1,1,0.678736505,0.023079539,0.050000000,0.050000000,0.500000000,0.526315789,0.526315789,0.526315789,0.526315789,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.438321051,0.000000000,0.000000000,1.000000000,989.598144531,-277.227539062,0.176185057,0.002202349,-0.008196149,0.010266956,-0.999911308
7,1713239825.330511093,fused_map_f2f,1,1,1,0.371261241,1.381574451,0.050000000,0.050000000,0.025000000,0.052631579,0.052631579,0.052631579,0.052631579,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.440153208,0.000000000,0.000000000,1.000000000,989.241760254,-277.225128174,0.182969466,0.002077676,-0.006993917,0.012218878,-0.999898732
8,1713239825.429661036,fused_map_f2f,1,1,1,0.514913499,0.030142688,0.050000000,0.050000000,0.500000000,0.526315789,0.526315789,0.526315789,0.526315789,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.437677501,0.000000000,0.000000000,1.000000000,988.885131836,-277.230529785,0.197002649,0.001990234,-0.002781179,0.012231193,-0.999919355
9,1713239825.530258656,fused_map_f2f,1,1,1,0.610910517,0.529844015,0.050000000,0.050000000,0.025000000,0.052631579,0.052631579,0.052631579,0.052631579,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.448685857,0.000000000,0.000000000,1.000000000,988.504699707,-277.235046387,0.211840153,0.002116403,-0.001270565,0.010637549,-0.999940395
