seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
0,0.896000000,map_only,0,1,0,0.007007829,nan,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.164933443,0.027654301,0.750757873,0.999996841,-0.000027430,0.000025417,0.002520991
1,1.020000000,fused_map_f2f,1,1,0,0.006816187,0.004963291,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.165000975,0.027307939,0.750910759,0.999996781,-0.000077549,0.000026018,0.002542388
2,1.096000000,fused_map_f2f,1,1,0,0.006821162,0.005198013,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.164980054,0.027303273,0.750818491,0.999996722,-0.000075569,0.000029459,0.002558922
3,1.219000000,fused_map_f2f,1,1,0,0.006866019,0.005594117,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.165064737,0.027376596,0.750758529,0.999996662,-0.000049433,0.000030617,0.002579264
4,1.321000000,fused_map_f2f,1,1,0,0.006882227,0.004633254,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.165021330,0.027779849,0.750846863,0.999996603,-0.000027685,0.000041297,0.002604230
5,1.399000000,fused_map_f2f,1,1,0,0.006860867,0.005182459,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.165506750,0.027436292,0.750824094,0.999996603,-0.000080408,0.000032108,0.002612160
6,1.515000000,fused_map_f2f,1,1,0,0.006811776,0.004478452,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.166012958,0.027374446,0.750874341,0.999996603,-0.000073979,0.000026787,0.002597748
7,1.626000000,fused_map_f2f,1,1,0,0.006840556,0.005052384,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.165739641,0.027307188,0.750831425,0.999996603,-0.000065504,0.000026725,0.002612675
8,1.703000000,fused_map_f2f,1,1,0,0.006816690,0.005093344,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.166274726,0.027137611,0.750802517,0.999996543,-0.000082400,0.000031261,0.002627342
9,1.822000000,fused_map_f2f,1,1,0,0.006778760,0.005070149,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.166286126,0.027050480,0.750700295,0.999996603,-0.000056237,0.000034892,0.002610660
