seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
0,0.896000000,map_only,0,1,0,0.007007829,nan,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.515208486,0.748018878,1.000000000,0.895027624,0.000000000,0.000000000,1.000000000,-0.164933443,0.027654301,0.750757873,0.999996841,-0.000027430,0.000025417,0.002520991
1,1.020000000,fused_map_f2f,1,1,0,0.006816187,0.004963291,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.406273917,0.704445051,1.000000000,0.891566265,0.000000000,0.000000000,1.000000000,-0.165008456,0.027305197,0.750912428,0.999996781,-0.000077549,0.000026018,0.002542388
2,1.096000000,fused_map_f2f,1,1,0,0.006820421,0.005198013,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.456028090,0.724346720,1.000000000,0.891402715,0.000000000,0.000000000,1.000000000,-0.164988309,0.027298169,0.750818431,0.999996722,-0.000074979,0.000029693,0.002558568
3,1.219000000,fused_map_f2f,1,1,0,0.006863554,0.005594117,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.412922620,0.707104532,1.000000000,0.896638234,0.000000000,0.000000000,1.000000000,-0.165073499,0.027385997,0.750784278,0.999996662,-0.000051903,0.000030154,0.002577374
4,1.321000000,fused_map_f2f,1,1,0,0.006894494,0.004634038,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.933333333,0.431264767,0.732505907,1.000000000,0.891566265,0.000000000,0.000000000,1.000000000,-0.164976448,0.027841037,0.750795126,0.999996603,-0.000003647,0.000046535,0.002611756
5,1.399000000,fused_map_f2f,1,1,0,0.006867747,0.005179842,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.497151735,0.740796178,1.000000000,0.892516323,0.000000000,0.000000000,1.000000000,-0.165406555,0.027479241,0.750771165,0.999996603,-0.000068957,0.000034509,0.002613512
6,1.515000000,fused_map_f2f,1,1,0,0.006809858,0.004479206,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.472528964,0.730947070,1.000000000,0.897384306,0.000000000,0.000000000,1.000000000,-0.165929273,0.027322061,0.750888169,0.999996603,-0.000063827,0.000028674,0.002596702
7,1.626000000,fused_map_f2f,1,1,0,0.006845190,0.005057201,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.438407766,0.717298590,1.000000000,0.892964824,0.000000000,0.000000000,1.000000000,-0.165699586,0.027327424,0.750847936,0.999996543,-0.000055016,0.000027190,0.002616673
8,1.703000000,fused_map_f2f,1,1,0,0.006819834,0.005096399,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.468448129,0.729314735,1.000000000,0.892408245,0.000000000,0.000000000,1.000000000,-0.166223764,0.027141448,0.750803947,0.999996543,-0.000078277,0.000031256,0.002629746
9,1.822000000,fused_map_f2f,1,1,0,0.006779852,0.005070145,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.465069240,0.727963180,1.000000000,0.894974874,0.000000000,0.000000000,1.000000000,-0.166281641,0.027055794,0.750700653,0.999996603,-0.000057252,0.000035012,0.002611630
10,1.900000000,fused_map_f2f,1,1,0,0.006757534,0.005478972,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.431226012,0.714425888,1.000000000,0.896188566,0.000000000,0.000000000,1.000000000,-0.166128621,0.027208213,0.750589907,0.999996603,-0.000078188,0.000039328,0.002598507
11,2.010000000,fused_map_f2f,1,1,0,0.006772748,0.005540353,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.520467834,0.750122617,1.000000000,0.892964824,0.000000000,0.000000000,1.000000000,-0.166687608,0.027448777,0.750695527,0.999996543,-0.000020811,0.000039247,0.002616961
12,2.122000000,fused_map_f2f,1,1,0,0.006809662,0.005600582,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.478237886,0.733230638,1.000000000,0.896084337,0.000000000,0.000000000,1.000000000,-0.166666910,0.027031807,0.750881076,0.999996424,-0.000100346,0.000020848,0.002671886
13,2.200000000,fused_map_f2f,1,1,0,0.006801357,0.005513047,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.035714286,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.870967742,0.376009011,0.672984250,1.000000000,0.896534405,0.000000000,0.000000000,1.000000000,-0.167312413,0.026848782,0.750891924,0.999996424,-0.000098341,0.000015060,0.002675146
14,2.309000000,fused_map_f2f,1,1,0,0.006816880,0.005118009,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.036713828,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.472071268,0.730763991,1.000000000,0.895875252,0.765517241,0.685807951,1.029053863,-0.167666629,0.026899772,0.750845075,0.999996364,-0.000035108,0.000037263,0.002701648
15,2.409000000,fused_map_f2f,1,1,0,0.006806709,0.005324683,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.036737685,0.002770083,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.903225806,0.454299101,0.723655124,1.000000000,0.896933132,0.776223776,0.696220823,1.029748055,-0.167364463,0.026799969,0.750856578,0.999996305,-0.000089158,0.000025762,0.002704664
